,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
135,1402000000.0,6780294.0,415394.0,3013058.0
136,1402000000.0,6901980.0,419567.0,3085759.0
137,1402000000.0,7014736.0,422716.0,3140854.0
138,1402000000.0,7123853.0,427160.0,3293390.0
139,1402000000.0,7248958.0,432335.0,3375643.0
140,1402000000.0,7369453.0,437429.0,3454810.0
141,1402000000.0,7520921.0,443085.0,3540696.0
142,1402000000.0,7638492.0,447525.0,3613273.0
143,1402000000.0,7771147.0,452093.0,3698258.0
144,1402000000.0,7904369.0,455702.0,3769700.0
145,1402000000.0,8042927.0,460098.0,3857394.0
146,1402000000.0,8185073.0,467271.0,3955247.0
147,1402000000.0,8361861.0,472851.0,4074077.0
148,1402000000.0,8503912.0,478230.0,4155242.0
149,1402000000.0,8684370.0,484688.0,4245895.0
150,1402000000.0,8836227.0,489202.0,4378402.0
151,1402000000.0,8964696.0,493703.0,4447182.0
152,1402000000.0,9111807.0,497762.0,4526436.0
153,1402000000.0,9280001.0,503445.0,4630474.0
154,1402000000.0,9447590.0,508885.0,4746192.0
155,1402000000.0,9627745.0,515823.0,4839023.0
156,1402000000.0,9820739.0,521035.0,4944925.0
157,1402000000.0,9996396.0,525816.0,5051153.0
158,1402000000.0,10169958.0,529446.0,5140271.0
159,1402000000.0,10321827.0,533373.0,5235190.0
160,1402000000.0,10505347.0,539403.0,5352667.0
161,1402000000.0,10719707.0,544776.0,5577067.0
162,1402000000.0,10893351.0,550269.0,5753446.0
163,1402000000.0,11099498.0,555659.0,5863275.0
164,1402000000.0,11288287.0,560410.0,6058920.0
165,1402000000.0,11474389.0,564265.0,6178402.0
166,1402000000.0,11645187.0,568458.0,6302109.0
167,1402000000.0,11853473.0,574907.0,6447147.0
168,1402000000.0,12068149.0,580549.0,6605163.0
169,1402000000.0,12291014.0,586390.0,6739826.0
170,1402000000.0,12522924.0,592117.0,6879277.0
171,1402000000.0,12737580.0,597370.0,7005038.0
172,1402000000.0,12930312.0,601666.0,7116853.0
173,1402000000.0,13126382.0,606109.0,7257244.0
174,1402000000.0,13345831.0,612135.0,7399401.0
175,1402000000.0,13575662.0,618058.0,7559204.0
176,1402000000.0,13817710.0,624239.0,7711592.0
177,1402000000.0,14063343.0,631163.0,7895068.0
178,1402000000.0,14299298.0,637685.0,8045835.0
179,1402000000.0,14511725.0,642554.0,8133852.0
180,1402000000.0,14713922.0,646028.0,8290752.0
181,1402000000.0,14963451.0,652759.0,8467517.0
182,1402000000.0,15238267.0,660180.0,8646272.0
183,1402000000.0,15518213.0,666878.0,8823667.0
184,1402000000.0,15802720.0,673527.0,9051967.0
185,1402000000.0,16051661.0,679667.0,9271779.0
186,1402000000.0,16257023.0,683771.0,9409710.0
187,1402000000.0,16499553.0,689309.0,9586463.0
188,1402000000.0,16715557.0,695514.0,9721635.0
189,1402000000.0,17034087.0,702950.0,9959507.0
190,1402000000.0,17316394.0,709866.0,10173026.0
191,1402000000.0,17604057.0,716581.0,10372632.0
192,1402000000.0,17850842.0,722668.0,10553543.0
193,1402000000.0,18081975.0,727338.0,10692267.0
194,1402000000.0,18289321.0,732145.0,10914712.0
195,1402000000.0,18555063.0,739412.0,11135939.0
196,1402000000.0,18829895.0,746862.0,11357634.0
197,1402000000.0,19116940.0,754313.0,11546441.0
198,1402000000.0,19399834.0,761149.0,11738487.0
199,1402000000.0,19665301.0,767204.0,11938731.0
200,1402000000.0,19899216.0,772376.0,12117482.0
201,1402000000.0,20134208.0,777669.0,12281693.0
202,1402000000.0,20398471.0,784285.0,12586761.0
203,1402000000.0,20683813.0,791611.0,12828273.0
204,1402000000.0,20963197.0,798171.0,12991322.0
205,1402000000.0,21269108.0,804741.0,13274564.0
206,1402000000.0,21520784.0,810756.0,13443168.0
207,1402000000.0,21731366.0,815533.0,13676122.0
208,1402000000.0,21945190.0,814809.0,13887134.0
209,1402000000.0,22204815.0,821852.0,14114729.0
210,1402000000.0,22481401.0,828281.0,14332726.0
211,1402000000.0,22752845.0,834721.0,14540516.0
212,1402000000.0,23015414.0,840458.0,14709010.0
213,1402000000.0,23267588.0,845864.0,14908069.0
214,1402000000.0,23481166.0,850573.0,15135051.0
215,1402000000.0,23710963.0,855378.0,15334472.0
216,1402000000.0,23956488.0,861939.0,15566021.0
217,1402000000.0,24236157.0,868472.0,15791656.0
218,1402000000.0,24520431.0,874691.0,16000170.0
219,1402000000.0,24805032.0,880524.0,16199748.0
220,1402000000.0,25066550.0,886337.0,16411128.0
221,1402000000.0,25285721.0,890587.0,16621343.0
222,1402000000.0,25552983.0,894944.0,16822116.0
223,1402000000.0,25820588.0,901555.0,17077390.0
224,1402000000.0,26101688.0,907857.0,17295477.0
225,1402000000.0,26379802.0,913945.0,17516846.0
226,1402000000.0,26673123.0,919528.0,17721277.0
227,1402000000.0,26946945.0,924647.0,17921784.0
228,1402000000.0,27184267.0,929027.0,18143126.0
229,1402000000.0,27397697.0,938424.0,18329624.0
230,1402000000.0,27640846.0,943547.0,18529250.0
231,1402000000.0,27935188.0,950031.0,18781962.0
232,1402000000.0,28237687.0,956027.0,18998623.0
233,1402000000.0,28553957.0,962017.0,19222293.0
234,1402000000.0,28843121.0,967064.0,19445227.0
235,1402000000.0,29091710.0,971002.0,19633075.0
236,1402000000.0,29274930.0,974533.0,19782282.0
237,1402000000.0,29639661.0,982168.0,20086277.0
238,1402000000.0,29943560.0,988028.0,20315754.0
239,1402000000.0,30259031.0,993664.0,20535965.0
240,1402000000.0,30586122.0,999521.0,20787114.0
241,1402000000.0,30879542.0,1004821.0,21024099.0
242,1402000000.0,31134781.0,1008767.0,21261176.0
243,1402000000.0,31395040.0,1013168.0,21506654.0
244,1402000000.0,31679627.0,1019375.0,21724452.0
245,1402000000.0,31989807.0,1025858.0,21987865.0
246,1402000000.0,32311136.0,1031527.0,22243535.0
247,1402000000.0,32646235.0,1037539.0,22482743.0
248,1402000000.0,32931257.0,1042968.0,22744886.0
249,1402000000.0,33179024.0,1046796.0,22958765.0
250,1402000000.0,33442643.0,1050863.0,23181307.0
251,1402000000.0,33725524.0,1056978.0,23421346.0
252,1402000000.0,34049843.0,1063420.0,23669564.0
253,1402000000.0,34362874.0,1072162.0,23882865.0
254,1402000000.0,34700044.0,1077898.0,24063391.0
255,1402000000.0,34982777.0,1082625.0,24318992.0
256,1402000000.0,35255734.0,1086611.0,24541151.0
257,1402000000.0,35568566.0,1093658.0,24778619.0
258,1402000000.0,35884029.0,1099505.0,25009732.0
259,1402000000.0,36232118.0,1105399.0,25264923.0
260,1402000000.0,36592029.0,1111704.0,25484500.0
261,1402000000.0,36951734.0,1117930.0,25691357.0
262,1402000000.0,37306141.0,1122810.0,25886762.0
263,1402000000.0,37594279.0,1126908.0,26109402.0
264,1402000000.0,37887272.0,1130955.0,26309717.0
265,1402000000.0,38207065.0,1136382.0,26498938.0
266,1402000000.0,38588582.0,1142563.0,26711281.0
267,1402000000.0,38996520.0,1148724.0,26918202.0
268,1402000000.0,39406968.0,1154907.0,27121216.0
269,1402000000.0,39776334.0,1160568.0,27319499.0
270,1402000000.0,40106146.0,1164386.0,27521010.0
271,1402000000.0,40484002.0,1169107.0,27723541.0
272,1402000000.0,40873741.0,1175755.0,27931676.0
273,1402000000.0,41316334.0,1182605.0,28142898.0
274,1402000000.0,41792285.0,1188502.0,28369691.0
275,1402000000.0,42298759.0,1195590.0,28576425.0
276,1402000000.0,42748287.0,1201414.0,28788006.0
277,1402000000.0,43144720.0,1205616.0,28986100.0
278,1402000000.0,43586189.0,1211228.0,29224399.0
279,1402000000.0,44058370.0,1218695.0,29814104.0
280,1402000000.0,44584341.0,,30076741.0
281,1402000000.0,45123688.0,1233106.0,30323492.0
282,1402000000.0,45693025.0,1241058.0,29715703.0
283,1402000000.0,46171964.0,1247667.0,30845019.0
284,1402000000.0,46616230.0,1252804.0,31102836.0
285,1402000000.0,47117417.0,1258639.0,31383406.0
286,1402000000.0,47637374.0,1267752.0,31634979.0
287,1402000000.0,48231355.0,1278326.0,31914298.0
288,1402000000.0,48851852.0,1287049.0,32217953.0
289,1402000000.0,49474700.0,1296190.0,32506314.0
290,1402000000.0,50067436.0,1303901.0,32805330.0
291,1402000000.0,50556315.0,1309983.0,33058570.0
292,1402000000.0,51023194.0,1317186.0,
293,1402000000.0,51607195.0,1327329.0,
294,1402000000.0,52234749.0,1337850.0,
295,1402000000.0,52878352.0,1347794.0,34179446.0
296,1402000000.0,53539514.0,1357556.0,34481578.0
297,1402000000.0,54118911.0,1366608.0,34759397.0
298,1402000000.0,54595842.0,1373175.0,34990157.0
299,1402000000.0,55121968.0,1381098.0,35379590.0
300,1402000000.0,55735127.0,1392261.0,35814478.0
301,1402000000.0,56362002.0,1403605.0,36177588.0
302,1402000000.0,57016948.0,1414745.0,36551887.0
303,1402000000.0,57690556.0,1426501.0,36907311.0
304,1402000000.0,58276818.0,1435530.0,37246581.0
305,1402000000.0,58763995.0,1442961.0,37520305.0
306,1402000000.0,59298111.0,1451480.0,37931518.0
307,1402000000.0,59891156.0,1464301.0,38303697.0
308,1402000000.0,60522734.0,1476329.0,38741107.0
309,1402000000.0,61114524.0,1487371.0,39107983.0
310,1402000000.0,61808113.0,1498819.0,39489609.0
311,1402000000.0,62407092.0,1508076.0,39849315.0
312,1402000000.0,62892846.0,1515355.0,40167598.0
313,1402000000.0,63398327.0,1524319.0,40569854.0
314,1402000000.0,64022429.0,1537190.0,41046058.0
315,1402000000.0,64667568.0,1549696.0,41508984.0
316,1402000000.0,65360291.0,1562274.0,41935968.0
317,1402000000.0,66049079.0,1574730.0,42426585.0
318,1402000000.0,66695714.0,1585059.0,42862533.0
319,1402000000.0,67232765.0,1592774.0,43178577.0
320,1402000000.0,67760243.0,1601487.0,43591716.0
321,1402000000.0,68405641.0,1613925.0,44032487.0
322,1402000000.0,69073578.0,1626444.0,44458967.0
323,1402000000.0,70579219.0,1639100.0,44950193.0
324,1402000000.0,71284567.0,1652153.0,45428333.0
325,1402000000.0,71927323.0,1662903.0,46933276.0
326,1402000000.0,72462749.0,1670725.0,47328395.0
327,1402000000.0,73005792.0,1679893.0,47737929.0
