,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
153,40188667.0,19685.0,622.0,9260.0
154,40188508.0,19214.0,643.0,9869.0
155,40187973.0,19408.0,679.0,10174.0
156,40187888.0,19356.0,684.0,10306.0
157,40187532.0,19321.0,707.0,10674.0
158,40187181.0,17716.0,733.0,12604.0
159,40186910.0,16653.0,737.0,13934.0
160,40186789.0,16575.0,739.0,14131.0
161,40186386.0,15419.0,778.0,15651.0
162,40186126.0,15256.0,811.0,16041.0
163,40185824.0,14256.0,823.0,17331.0
164,40185476.0,12764.0,830.0,19164.0
165,40185197.0,12803.0,868.0,19366.0
166,40185084.0,12156.0,891.0,20103.0
167,40184764.0,12367.0,924.0,20179.0
168,40184554.0,12040.0,940.0,20700.0
169,40184495.0,11951.0,941.0,20847.0
170,40183954.0,12423.0,975.0,20882.0
171,40183797.0,12323.0,979.0,21135.0
172,40183697.0,12307.0,1014.0,21216.0
173,40183693.0,12271.0,1016.0,21254.0
174,40183408.0,12323.0,1049.0,21454.0
175,40183208.0,11472.0,1098.0,22456.0
176,40183078.0,11215.0,1117.0,22824.0
177,40182919.0,11013.0,1151.0,23151.0
178,40182859.0,10951.0,1151.0,23273.0
179,40182673.0,10742.0,1185.0,23634.0
180,40182639.0,10667.0,1187.0,23741.0
181,40182533.0,10772.0,1188.0,23741.0
182,40182421.0,10695.0,1194.0,23924.0
183,40182233.0,10236.0,1215.0,24550.0
184,40182167.0,10236.0,1229.0,24602.0
185,40182112.0,10079.0,1250.0,24793.0
186,40181991.0,9800.0,1263.0,25180.0
187,40181885.0,9878.0,1273.0,25198.0
188,40181780.0,9822.0,1274.0,25358.0
189,40181677.0,9893.0,1275.0,25389.0
190,40181606.0,9882.0,1275.0,25471.0
191,40181606.0,9844.0,1275.0,25509.0
192,40181438.0,10000.0,1287.0,25509.0
193,40181438.0,9999.0,1287.0,25510.0
194,40181438.0,9840.0,1287.0,25669.0
195,40181401.0,9872.0,1292.0,25669.0
196,40181319.0,9875.0,1298.0,25742.0
197,40181252.0,9840.0,1302.0,25840.0
198,40181211.0,9818.0,1302.0,25903.0
199,40181133.0,9830.0,1311.0,25960.0
200,40181094.0,9864.0,1316.0,25960.0
201,40181094.0,9596.0,1316.0,26228.0
202,40180879.0,9592.0,1348.0,26415.0
203,40180803.0,9379.0,1358.0,26694.0
204,40180724.0,9429.0,1367.0,26714.0
205,40180717.0,9436.0,1367.0,26714.0
206,40180597.0,9097.0,1374.0,27166.0
207,40180552.0,9137.0,1379.0,27166.0
208,40180552.0,9137.0,1379.0,27166.0
209,40180549.0,9140.0,1379.0,27166.0
210,40180549.0,9140.0,1379.0,27166.0
211,40180389.0,8777.0,1387.0,27681.0
212,40180292.0,8537.0,1389.0,28016.0
213,40180254.0,8575.0,1389.0,28016.0
214,40180195.0,8470.0,1389.0,28180.0
215,40180149.0,8334.0,1391.0,28360.0
216,40180078.0,8315.0,1401.0,28440.0
217,40180035.0,7752.0,1405.0,29042.0
218,40180019.0,7764.0,1405.0,29046.0
219,40180008.0,7761.0,1406.0,29059.0
220,40180005.0,7760.0,1406.0,29063.0
221,40180005.0,7734.0,1406.0,29089.0
222,40179986.0,7753.0,1406.0,29089.0
223,40179952.0,7641.0,1410.0,29231.0
224,40179905.0,7601.0,1413.0,29315.0
225,40179860.0,7571.0,1413.0,29390.0
226,40179860.0,7248.0,1413.0,29713.0
227,40179844.0,6895.0,1413.0,30082.0
228,40179750.0,6531.0,1416.0,30537.0
229,40179654.0,6604.0,1419.0,30557.0
230,40179628.0,6469.0,1422.0,30715.0
231,40179604.0,6158.0,1424.0,31048.0
232,40179576.0,6105.0,1424.0,31129.0
233,40179542.0,6114.0,1424.0,31154.0
234,40179507.0,6069.0,1424.0,31234.0
235,40179432.0,5740.0,1424.0,31638.0
236,40179376.0,5356.0,1429.0,32073.0
237,40179333.0,5373.0,1430.0,32098.0
238,40179293.0,4998.0,1440.0,32503.0
239,40179276.0,5013.0,1440.0,32505.0
240,40179265.0,4952.0,1441.0,32576.0
241,40179229.0,4988.0,1441.0,32576.0
242,40179104.0,5109.0,1445.0,32576.0
243,40179074.0,5136.0,1448.0,32576.0
244,40179052.0,5157.0,1449.0,32576.0
245,40179003.0,5171.0,1450.0,32610.0
246,40178978.0,5182.0,1455.0,32619.0
247,40178962.0,5198.0,1455.0,32619.0
248,40178956.0,5186.0,1457.0,32635.0
249,40178921.0,5214.0,1457.0,32642.0
250,40178909.0,5223.0,1460.0,32642.0
251,40178894.0,5132.0,1462.0,32746.0
252,40178880.0,5103.0,1462.0,32789.0
253,40178863.0,5067.0,1462.0,32842.0
254,40178858.0,5072.0,1462.0,32842.0
255,40178851.0,5075.0,1466.0,32842.0
256,40178807.0,5109.0,1466.0,32852.0
257,40178726.0,5159.0,1470.0,32879.0
258,40178662.0,5124.0,1471.0,32977.0
259,40178600.0,5116.0,1473.0,33045.0
260,40178532.0,5170.0,1474.0,33058.0
261,40178455.0,5245.0,1476.0,33058.0
262,40178445.0,5248.0,1477.0,33064.0
263,40178349.0,5290.0,1481.0,33114.0
264,40178278.0,5355.0,1483.0,33118.0
265,40178220.0,5222.0,1484.0,33308.0
266,40178154.0,5241.0,1485.0,33354.0
267,40178122.0,5180.0,1485.0,33447.0
268,40178075.0,5154.0,1489.0,33516.0
269,40178007.0,5174.0,1492.0,33561.0
270,40177948.0,5176.0,1496.0,33614.0
271,40177861.0,5112.0,1501.0,33760.0
272,40177773.0,5168.0,1503.0,33790.0
273,40177773.0,5134.0,1503.0,33824.0
274,40177724.0,5176.0,1503.0,33831.0
275,40177608.0,5111.0,1505.0,34010.0
276,40177547.0,5157.0,1507.0,34023.0
277,40177466.0,5128.0,1511.0,34129.0
278,40177401.0,5169.0,1514.0,34150.0
279,40177297.0,5202.0,1518.0,34217.0
280,40177202.0,5272.0,1523.0,34237.0
281,40177089.0,5377.0,1529.0,34239.0
282,40176966.0,5478.0,1532.0,34258.0
283,40176900.0,5480.0,1533.0,34321.0
284,40176809.0,5563.0,1536.0,34326.0
285,40176733.0,5623.0,1536.0,34342.0
286,40176601.0,5737.0,1541.0,34355.0
287,40176506.0,5822.0,1544.0,34362.0
288,40176420.0,5826.0,1548.0,34440.0
289,40176299.0,5941.0,1554.0,34440.0
290,40176259.0,5975.0,1554.0,34446.0
291,40176201.0,6019.0,1556.0,34458.0
292,40176075.0,5876.0,1562.0,34721.0
293,40175937.0,5769.0,1574.0,34954.0
294,40175771.0,5919.0,1577.0,34967.0
295,40175625.0,6004.0,1581.0,35024.0
296,40175439.0,6168.0,1591.0,35036.0
297,40175265.0,6307.0,1595.0,35067.0
298,40175199.0,6338.0,1605.0,35092.0
299,40174994.0,6486.0,1617.0,35137.0
300,40174831.0,6617.0,1626.0,35160.0
301,40174606.0,6695.0,1638.0,35295.0
302,40174383.0,6856.0,1645.0,35350.0
303,40174006.0,7208.0,1650.0,35370.0
304,40173791.0,7360.0,1661.0,35422.0
305,40173731.0,6894.0,1675.0,35934.0
306,40173528.0,7043.0,1687.0,35976.0
307,40173246.0,7171.0,1695.0,36122.0
308,40172956.0,7421.0,1712.0,36145.0
309,40172744.0,7533.0,1725.0,36232.0
310,40172518.0,7684.0,1737.0,36295.0
311,40172395.0,7390.0,1740.0,36709.0
312,40172268.0,7498.0,1752.0,36716.0
313,40172019.0,7621.0,1763.0,36831.0
314,40171736.0,7778.0,1774.0,36946.0
315,40171517.0,7704.0,1795.0,37218.0
316,40171254.0,7898.0,1822.0,37260.0
317,40170976.0,8157.0,1841.0,37260.0
318,40170846.0,8148.0,1847.0,37393.0
319,40170593.0,8091.0,1865.0,37685.0
320,40170333.0,8147.0,1875.0,37879.0
